model,class_name,precision,recall,f1,support
tfidf,no_crisis,0.7045454545454546,0.5849056603773585,0.6391752577319587,53
tfidf,implicit_crisis,0.631578947368421,0.7346938775510204,0.6792452830188679,49
tfidf,explicit_crisis,0.7659574468085106,0.7741935483870968,0.7700534759358288,93
bert,no_crisis,0.7659574468085106,0.6792452830188679,0.72,53
bert,implicit_crisis,0.6538461538461539,0.6938775510204082,0.6732673267326733,49
bert,explicit_crisis,0.8333333333333334,0.8602150537634409,0.8465608465608465,93
