ngram_min,ngram_max,ngram_range,analyzer,is_baseline,num_features,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,implicit_f1,implicit_recall,implicit_precision,explicit_f1,explicit_recall,explicit_precision,non_crisis_f1,non_crisis_recall,non_crisis_precision,hard_negative_f1,hard_negative_precision,hard_negative_recall,hard_negative_status,vectorize_seconds,train_seconds,total_seconds,lr_n_iter_used,converged
2,4,"(2,4)",char_wb,False,11015,0.8041,0.7984,0.8091,0.7986,0.789,0.8958,0.7049,0.8268,0.7957,0.8605,0.78,0.7358,0.8298,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,0.945,0.28,1.225,18,True
3,5,"(3,5)",char_wb,True,17708,0.8093,0.809,0.8114,0.8054,0.7593,0.8542,0.6833,0.8287,0.8065,0.8523,0.8283,0.7736,0.8913,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,0.805,0.403,1.208,20,True
3,6,"(3,6)",char_wb,False,24359,0.799,0.801,0.7988,0.7944,0.7593,0.8542,0.6833,0.8197,0.8065,0.8333,0.8041,0.7358,0.8864,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,1.023,0.498,1.52,22,True
4,6,"(4,6)",char_wb,False,20899,0.8041,0.8092,0.7997,0.7981,0.7664,0.8542,0.6949,0.828,0.828,0.828,0.8,0.717,0.9048,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,0.786,0.516,1.302,27,True
4,7,"(4,7)",char_wb,False,25894,0.799,0.8004,0.7934,0.7902,0.7593,0.8542,0.6833,0.8324,0.828,0.837,0.7789,0.6981,0.881,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,0.808,0.547,1.355,25,True
5,7,"(5,7)",char_wb,False,19275,0.7938,0.7866,0.7965,0.7862,0.789,0.8958,0.7049,0.8222,0.7957,0.8506,0.7475,0.6981,0.8043,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,class_not_in_dataset,0.475,0.357,0.832,23,True
